model,size_tb,drive_count,days_observed,days_elapsed,runtime_total,runtime_elapsed,failure_rate,percent_total,failures
WDC WD3200BEKX,0.320072933376,13.0,1901.0,2037 days 00:00:00.000000000,49579.0,48782.0,0.0,0.000272006360764,0.0
WDC WD3200LPVX,0.320072933376,2.0,581.0,582 days 00:00:00.000000000,14076.0,13950.0,0.0,4.18471324253e-05,0.0
WDC WD40EFRX,4.00078703002,45.0,13500.0,13500 days 00:00:00.000000000,325058.0,323598.0,0.0,0.000941560479568,0.0
WDC WD5000AAJS,0.500107862016,1.0,320.0,320 days 00:00:00.000000000,14166.0,3400.0,0.0,2.09235662126e-05,0.0
WDC WD5000BPKT,0.500107862016,24.0,7618.0,7680 days 00:00:00.000000000,360300.0,181201.0,0.0,0.000502165589103,0.0
WDC WD5000LPVX,0.500107862016,172.0,31597.0,32649 days 00:00:00.000000000,809737.0,765956.0,0.0,0.00359885338857,0.0
WDC WD5002ABYS,0.500107862016,6.0,1677.0,1686 days 00:00:00.000000000,135941.0,40409.0,0.0,0.000125541397276,0.0
WDC WD5003ABYX,0.500107862016,2.0,484.0,502 days 00:00:00.000000000,13924.0,10235.0,0.0,4.18471324253e-05,0.0
WDC WD60EFRX,6.00117512602,272.0,11879.0,11742 days 00:00:00.000000000,302945.0,281455.0,3.11239807429,0.00569121000983,1.0
WDC WD800AAJB,0.080026361856,23.0,6299.0,6455 days 00:00:00.000000000,772369.0,148396.0,23.6124962937,0.00048124202289,4.0
WDC WD800AAJS,0.080026361856,30.0,7746.0,7776 days 00:00:00.000000000,676637.0,186276.0,4.70269922051,0.000627706986379,1.0
WDC WD800BB,0.080026361856,56.0,16087.0,16301 days 00:00:00.000000000,3748791.0,379445.0,9.23453992015,0.00117171970791,4.0
WDC WD800JB,0.080026361856,19.0,6005.0,6084 days 00:00:00.000000000,877725.0,139988.0,0.0,0.00039754775804,0.0
WDC WD800JD,0.080026361856,1.0,316.0,320 days 00:00:00.000000000,31107.0,7644.0,0.0,2.09235662126e-05,0.0
WDC WD800LB,0.080026361856,2.0,640.0,640 days 00:00:00.000000000,157143.0,15306.0,0.0,4.18471324253e-05,0.0
